Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
BU03|LERMA|2021-08-09|0.0|4.57|19.54|31.54|7.3|56.19|100.0|16.75|0.58|307.1|3.73|161.9|26.27
BU04|TARDAJOS|2021-08-09|0.0|5.76|20.06|30.29|9.96|55.58|94.0|13.79|1.69|67.66|6.64|243.9|26.48
BU05|VADOCONDES|2021-08-09|0.0|5.01|20.76|32.29|8.71|51.79|91.0|17.35|0.86|281.1|3.98|188.7|26.23
BU07|SANTA_GADEA_DEL_CID|2021-08-09|0.0|4.89|20.3|32.1|9.26|67.99|94.7|25.92|0.93|41.04|5.02|29.53|25.07
BU102|CONDADO_DE_TREVIÑO|2021-08-09|0.0|4.98|19.4|31.72|8.86|70.66|96.4|31.49|0.91|46.65|6.61|59.54|26.81
LE01|CARRACEDELO|2021-08-09|0.0|4.26|19.24|29.74|9.82|64.34|97.3|24.38|0.63|332.7|3.48|290.8|23.88
LE02|MANSILLA_MAYOR|2021-08-09|0.0|4.06|17.28|28.38|7.29|67.25|98.8|23.68|0.42|302.9|3.18|267.2|25.22
LE03|CUBILLAS_DE_LOS_OTEROS|2021-08-09|0.0|4.33|17.5|28.08|7.71|64.59|95.4|22.16|0.81|30.1|3.74|219.1|24.16
LE04|ZOTES_DEL_PÁRAMO|2021-08-09|0.0|4.32|17.37|26.33|9.06|69.11|96.6|29.34|0.9|21.84|3.15|67.43|24.64
LE05|QUINTANA_DEL_MARCO|2021-08-09|0.0|4.26|17.25|27.4|7.89|72.41|100.0|34.39|0.67|35.69|3.17|52.84|25.43
LE06|HOSPITAL_DE_ORBIGO|2021-08-09|0.0|3.59|17.38|26.97|9.0|67.89|94.4|31.5|0.54|41.3|3.14|56.31|20.35
LE07|BUSTILLO_DEL_PÁRAMO|2021-08-09|0.0|3.91|17.06|25.57|8.05|68.98|100.0|29.18|1.01|1.41|3.46|51.42|20.89
LE08|SAHAGÚN|2021-08-09|0.0|5.58|20.14|29.57|9.59|46.89|87.4|15.86|1.45|340.5|4.67|210.3|27.97
LE09|SANTAS_MARTAS|2021-08-09|0.0|5.18|19.11|28.14|8.99|47.58|85.5|17.72|1.49|1.51|5.51|255.2|25.4
P01|TORQUEMADA|2021-08-09|0.0|5.41|19.86|31.07|8.13|50.86|94.9|12.13|1.26|40.63|6.19|220.8|26.6
P02|VILLAMURIEL_DE_CERRATO|2021-08-09|0.0|5.23|20.7|31.26|9.66|47.84|94.1|13.79|1.17|61.8|5.96|250.4|25.59
P03|FUENTES_DE_NAVA|2021-08-09|0.0|5.21|20.14|30.62|8.59|54.89|95.8|15.52|1.09|24.75|4.48|296.5|27.12
P04|VILLOLDO|2021-08-09|0.0|5.6|19.56|30.08|9.6|55.49|99.7|13.46|1.53|341.2|5.9|231.8|26.79
P06|HERRERA_DE_PISUERGA|2021-08-09|0.0|5.23|18.7|29.32|8.38|57.26|95.8|14.32|1.29|333.3|5.9|188.0|26.61
P07|VILLALUENGA_DE_LA_VEGA|2021-08-09|0.0|4.63|18.0|26.58|9.03|62.94|93.9|21.84|0.86|305.8|3.2|0.1|27.15
P08|LANTADILLA|2021-08-09|0.0|5.82|19.93|30.01|9.68|53.82|94.8|15.29|1.76|25.69|6.86|261.2|27.1
P101|VILLAELES_DE_VALDAVIA|2021-08-09|0.0|6.19|18.7|29.51|7.25|53.53|94.0|16.77|2.12|118.0|6.58|29.26|28.96
SA01|CIUDAD_RODRIGO|2021-08-09|0.0|4.9|20.06|31.22|8.01|58.08|96.3|20.71|0.77|182.6|6.44|245.2|27.08
SA03|ALDEARRUBIA|2021-08-09|0.0|4.91|18.52|30.94|5.61|61.63|100.0|18.17|0.76|25.57|4.73|235.3|28.01
SA101|ARABAYONA|2021-08-09|0.0|4.72|19.78|31.01|7.75|41.73|76.66|15.15|0.53|175.9|1.3|217.5|28.51
SA102|EJEME|2021-08-09|0.0|5.64|18.33|31.69|4.91|58.66|95.9|19.42|1.26|29.86|4.92|37.31|29.07
SG01|GOMEZSERRACÍN|2021-08-09|0.0|5.46|19.88|32.76|4.5|44.37|84.4|16.8|1.12|106.8|5.63|332.3|27.43
SG02|NAVA_DE_LA_ASUNCIÓN|2021-08-09|0.0|5.52|20.21|32.69|5.32|44.6|84.2|19.87|1.27|148.1|6.47|241.7|26.43
SO01|ALMAZÁN|2021-08-09|0.0|6.04|21.75|31.12|10.53|56.28|94.9|20.16|2.12|173.5|6.61|200.2|25.63
